time	I(C1)
1.083449572797498e-07	-6.315252e-02
1.085402697797498e-07	-5.454526e-02
1.087355822797498e-07	-4.511760e-02
1.089308947797498e-07	-3.501135e-02
1.091262072797499e-07	-2.437851e-02
1.093215197797499e-07	-1.337900e-02
1.095168322797499e-07	-2.178262e-03
1.097121447797499e-07	9.055245e-03
1.099074572797499e-07	2.015256e-02
1.101027697797499e-07	3.094677e-02
1.102980822797499e-07	4.127553e-02
1.104933947797499e-07	5.098349e-02
1.106887072797499e-07	5.992463e-02
1.108840197797499e-07	6.796446e-02
1.110793322797499e-07	7.498209e-02
1.112746447797499e-07	8.087194e-02
1.114699572797499e-07	8.554542e-02
1.116652697797499e-07	8.893226e-02
1.118605822797499e-07	9.098150e-02
1.120558947797499e-07	9.166232e-02
1.122512072797499e-07	9.096448e-02
1.124465197797499e-07	8.891825e-02
1.126301160698656e-07	8.575562e-02
1.128254285698656e-07	8.112203e-02
1.130207410698656e-07	7.528807e-02
1.132160535698656e-07	6.832175e-02
1.134113660698656e-07	6.032783e-02
1.136066785698656e-07	5.142653e-02
1.138019910698656e-07	4.175175e-02
1.139973035698656e-07	3.144899e-02
1.141926160698656e-07	2.067321e-02
1.143879285698656e-07	9.586496e-03
1.145832410698656e-07	-1.644410e-03
1.147785535698657e-07	-1.285059e-02
1.149738660698657e-07	-2.386349e-02
1.151691785698657e-07	-3.451747e-02
1.153644910698657e-07	-4.465229e-02
1.155598035698657e-07	-5.411552e-02
1.157551160698657e-07	-6.276482e-02
1.159504285698657e-07	-7.047009e-02
1.161457410698657e-07	-7.711545e-02
1.163410535698657e-07	-8.260094e-02
1.165363660698657e-07	-8.684406e-02
1.167316785698657e-07	-8.978099e-02
1.169269910698657e-07	-9.136756e-02
1.171223035698657e-07	-9.157988e-02
1.173176160698657e-07	-9.047907e-02
1.174757392405496e-07	-8.857795e-02
1.176409821349494e-07	-8.556157e-02
1.178362946349494e-07	-8.082683e-02
1.180316071349494e-07	-7.492696e-02
1.182269196349494e-07	-6.790018e-02
1.184222321349494e-07	-5.985215e-02
1.186175446349494e-07	-5.090392e-02
1.188128571349494e-07	-4.119008e-02
1.190081696349494e-07	-3.085673e-02
1.192034821349494e-07	-2.005928e-02
1.193987946349494e-07	-8.960125e-03
1.195941071349494e-07	2.273794e-03
1.197894196349494e-07	1.347352e-02
1.199847321349494e-07	2.447059e-02
1.201800446349494e-07	3.509962e-02
1.203753571349494e-07	4.520074e-02
1.205706696349494e-07	5.462202e-02
1.207659821349494e-07	6.322176e-02
1.209612946349494e-07	7.087062e-02
1.211566071349494e-07	7.745355e-02
1.213519196349494e-07	8.287154e-02
1.215472321349494e-07	8.704311e-02
1.217425446349494e-07	8.990550e-02
1.219378571349494e-07	9.141567e-02
1.221331696349495e-07	9.155089e-02
1.223284821349495e-07	9.036152e-02
1.224934321880642e-07	8.831073e-02
1.226475588542972e-07	8.544171e-02
1.228428713542972e-07	8.064595e-02
1.230381838542972e-07	7.470634e-02
1.232334963542972e-07	6.764313e-02
1.234288088542972e-07	5.956256e-02
1.236241213542972e-07	5.058615e-02
1.238194338542972e-07	4.084892e-02
1.240147463542973e-07	3.049731e-02
1.242100588542973e-07	1.968702e-02
1.244053713542973e-07	8.580623e-03
1.246006838542973e-07	-2.654828e-03
1.247959963542973e-07	-1.385035e-02
1.249913088542973e-07	-2.483756e-02
1.251866213542973e-07	-3.545121e-02
1.253819338542973e-07	-4.553166e-02
1.255772463542973e-07	-5.492731e-02
1.257725588542973e-07	-6.349683e-02
1.259678713542973e-07	-7.111134e-02
1.261631838542973e-07	-7.765631e-02
1.263584963542973e-07	-8.303329e-02
1.265538088542973e-07	-8.716144e-02
1.267491213542973e-07	-8.997864e-02
1.269444338542973e-07	-9.144251e-02
1.271397463542973e-07	-9.153106e-02
1.273350588542973e-07	-9.028812e-02
1.275041405808337e-07	-8.813655e-02
1.276567421815647e-07	-8.524936e-02
1.278520546815648e-07	-8.039229e-02
1.280473671815648e-07	-7.439759e-02
1.282426796815648e-07	-6.728395e-02
1.284379921815648e-07	-5.915835e-02
1.286333046815648e-07	-5.014301e-02
1.288286171815648e-07	-4.037350e-02
1.290239296815648e-07	-2.999677e-02
1.292192421815648e-07	-1.916889e-02
1.294145546815648e-07	-8.052694e-03
1.296098671815648e-07	3.184614e-03
1.298051796815648e-07	1.437403e-02
1.300004921815648e-07	2.534726e-02
1.301958046815648e-07	3.593925e-02
1.303911171815648e-07	4.599072e-02
1.305864296815648e-07	5.535048e-02
1.307817421815648e-07	6.387775e-02
1.309770546815648e-07	7.144429e-02
1.311723671815648e-07	7.793629e-02
1.313676796815648e-07	8.325610e-02
1.315629921815648e-07	8.732371e-02
1.317583046815648e-07	9.007795e-02
1.319536171815649e-07	9.147738e-02
1.321489296815649e-07	9.150096e-02
1.323442421815649e-07	9.018350e-02
1.325190925625677e-07	8.787019e-02
1.326810884857027e-07	8.470535e-02
1.328764009857027e-07	7.970928e-02
1.330717134857027e-07	7.356988e-02
1.332670259857027e-07	6.632398e-02
1.334623384857027e-07	5.808056e-02
1.336576509857027e-07	4.896360e-02
1.338529634857027e-07	3.911022e-02
1.340482759857027e-07	2.866861e-02
1.342435884857027e-07	1.779582e-02
1.344389009857027e-07	6.655371e-03
1.346342134857027e-07	-4.585177e-03
1.348295259857027e-07	-1.575677e-02
